class_of_price,host_response_rate,host_is_superhost,is_center,neighbourhood_cleansed,number_of_reviews,review_scores_rating,long_term_stays_allowed,washer,dishes_and_silverware,kitchen,cooking_basics,hair_dryer,tv,hangers,essentials,hot_water,bed_linens,heating,iron,dedicated_workspace,shampoo,wifi,air_conditioning,elevator,microwave,stove,coffee_maker,dishwasher,oven,refrigerator
medium,always_responds,False,True,navigli,some_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
medium,always_responds,False,False,viale_monza,lot_of_reviews,low_rating,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,False,viale_monza,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
medium,always_responds,False,True,buenos_aires,few_reviews,top_rating,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False
medium,usually_responds,False,True,centrale,some_reviews,low_rating,False,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,True
expensive,always_responds,False,True,duomo,some_reviews,top_rating,False,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,brera,lot_of_reviews,nice_rating,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True
medium,always_responds,False,True,ticinese,lot_of_reviews,nice_rating,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False
medium,always_responds,False,True,washington,some_reviews,low_rating,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False
medium,always_responds,True,False,lambrate,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True
medium,usually_responds,False,False,villapizzone,some_reviews,top_rating,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,navigli,lot_of_reviews,low_rating,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True
medium,always_responds,False,True,guastalla,lot_of_reviews,nice_rating,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True
medium,usually_responds,True,True,isola,lot_of_reviews,nice_rating,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False
expensive,usually_responds,True,False,citta_studi,some_reviews,low_rating,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,isola,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True
affordable,always_responds,False,False,giambellino,lot_of_reviews,good_rating,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True
medium,always_responds,True,True,navigli,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,True
medium,always_responds,False,True,duomo,lot_of_reviews,nice_rating,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,buenos_aires,lot_of_reviews,low_rating,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,True,False,False,False
medium,always_responds,True,False,de_angeli_rosa,lot_of_reviews,top_rating,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True
affordable,usually_responds,False,True,ticinese,no_reviews,good_rating,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
medium,always_responds,False,True,ticinese,lot_of_reviews,low_rating,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,washington,lot_of_reviews,nice_rating,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
medium,always_responds,False,False,bande_nere,no_reviews,low_rating,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
medium,always_responds,False,True,washington,no_reviews,good_rating,True,True,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,tortona,lot_of_reviews,low_rating,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,True
medium,always_responds,True,True,xxii_marzo,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
expensive,always_responds,False,False,citta_studi,some_reviews,top_rating,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
medium,always_responds,False,True,isola,lot_of_reviews,nice_rating,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True
expensive,always_responds,True,True,ticinese,lot_of_reviews,nice_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
medium,always_responds,False,True,buenos_aires,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True
medium,always_responds,False,True,ghisolfa,some_reviews,low_rating,True,True,False,True,False,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False
medium,always_responds,False,False,bande_nere,some_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True
medium,usually_responds,False,True,ticinese,lot_of_reviews,nice_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True
medium,always_responds,False,True,portello,some_reviews,top_rating,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False
medium,always_responds,False,True,ticinese,some_reviews,top_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True
medium,always_responds,True,True,brera,lot_of_reviews,low_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True
medium,usually_responds,False,True,navigli,no_reviews,low_rating,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
medium,always_responds,False,False,umbria,no_reviews,good_rating,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True
medium,usually_responds,False,True,brera,lot_of_reviews,low_rating,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True
medium,always_responds,False,True,ticinese,lot_of_reviews,low_rating,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False
medium,always_responds,False,True,buenos_aires,some_reviews,top_rating,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True
medium,usually_responds,False,True,tortona,lot_of_reviews,low_rating,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
medium,usually_responds,True,True,buenos_aires,lot_of_reviews,low_rating,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,True,True
medium,always_responds,False,False,parco_forlanini,some_reviews,top_rating,True,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
economy,always_responds,True,True,sarpi,lot_of_reviews,low_rating,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True
